ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp
1233.15,51746,1699588496,1699588499,12,71,1233.05,1233.45,3,117246,119079,1232.95,1230.0,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,16.7,1.3728
2072.15,370346,1699588500,1699588500,68,10,2072.2,2073.1,10,69948,171129,2061.96,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,55.0,2.7266
1357.15,5589,1699588491,1699588500,62,39,1357.35,1358.35,6,62009,61555,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
193.4,729080,1699588498,1699588501,1246,784,193.3,193.4,120,1185297,1661114,192.78,191.75,193.65,0,0,192.5,191.25,sf,NSE:BANKBARODA-EQ,2.15,1.1242
1357.15,5589,1699588491,1699588501,63,39,1357.35,1358.35,6,61580,61576,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
193.4,729080,1699588498,1699588502,1246,784,193.3,193.4,50,1185297,1661114,192.78,191.75,193.65,0,0,192.5,191.25,sf,NSE:BANKBARODA-EQ,2.15,1.1242
1357.15,5589,1699588491,1699588502,34,39,1357.35,1358.35,6,61446,61887,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
122.0,5754893,1699588503,1699588503,8636,35293,121.95,122.0,200,1608737,4675712,122.33,121.75,123.3,0,0,122.0,121.3,sf,NSE:ZOMATO-EQ,0.7,0.5771
1357.15,5589,1699588491,1699588503,73,57,1357.35,1358.35,6,61598,61538,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
193.45,731881,1699588501,1699588504,100,35,193.45,193.5,100,1185230,1659357,192.78,191.75,193.65,0,0,192.5,191.25,sf,NSE:BANKBARODA-EQ,2.2,1.1503
1233.85,52173,1699588503,1699588504,75,1250,1233.45,1234.0,30,118504,115697,1232.96,1230.0,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,17.4,1.4304
122.0,5757845,1699588505,1699588505,9572,29555,121.95,122.0,1000,1603979,4656880,122.33,121.75,123.3,0,0,122.0,121.3,sf,NSE:ZOMATO-EQ,0.7,0.5771
1357.15,5589,1699588491,1699588505,34,39,1357.35,1358.35,6,61521,61498,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
193.45,731881,1699588501,1699588506,100,35,193.45,193.5,100,1185230,1659357,192.78,191.75,193.65,0,0,192.5,191.25,sf,NSE:BANKBARODA-EQ,2.2,1.1503
1357.15,5589,1699588491,1699588506,73,39,1357.35,1358.35,6,61654,61511,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
2073.1,372916,1699588507,1699588507,73,72,2072.2,2073.1,28,70191,173589,2062.03,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,55.95,2.7737
1357.15,5589,1699588491,1699588507,34,57,1357.35,1358.35,6,61655,61609,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
193.4,732367,1699588507,1699588508,1384,732,193.35,193.45,132,1176284,1659349,192.78,191.75,193.65,0,0,192.5,191.25,sf,NSE:BANKBARODA-EQ,2.15,1.1242
1483.4,518446,1699588506,1699588508,98,846,1483.35,1483.4,8,392181,441567,1482.23,1480.05,1485.0,0,0,1480.1,1487.25,sf,NSE:HDFCBANK-EQ,-3.85,-0.2589
1233.85,52173,1699588503,1699588509,340,1297,1233.45,1234.0,30,119886,116143,1232.96,1230.0,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,17.4,1.4304
2072.8,374288,1699588509,1699588509,8,64,2072.8,2073.8,1,70561,173536,2062.08,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,55.65,2.7588
1233.85,52173,1699588503,1699588510,295,19,1233.45,1233.95,30,119490,116395,1232.96,1230.0,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,17.4,1.4304
481.95,171569,1699588509,1699588510,47,209,481.8,482.0,400,248712,315827,482.1,480.3,483.45,0,0,482.05,484.55,sf,NSE:HINDALCO-EQ,-2.6,-0.5366
1357.15,5589,1699588491,1699588510,162,39,1357.4,1358.35,6,62242,61426,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
1010.75,140731,1699588510,1699588511,20,44,1010.5,1010.75,1,65450,108274,1007.63,993.7,1014.25,0,0,1003.8,991.2,sf,NSE:VBL-EQ,19.55,1.9724
1233.95,52173,1699588503,1699588511,295,19,1233.45,1233.95,9,119490,116395,1232.96,1230.0,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,17.5,1.4386
2073.75,374736,1699588511,1699588511,63,1765,2073.1,2073.95,41,70745,173581,2062.09,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,56.6,2.8059
1233.95,52182,1699588511,1699588512,306,10,1233.45,1233.95,9,119500,116386,1232.96,1230.0,1237.85,0,0,1237.85,1216.45,sf,NSE:CIPLA-EQ,17.5,1.4386
1580.05,42162,1699588509,1699588512,15,25,1580.05,1580.5,10,94760,109440,1576.73,1572.65,1581.2,0,0,1581.0,1569.8,sf,NSE:BAJAJFINSV-EQ,10.25,0.6529
1357.15,5589,1699588491,1699588512,161,39,1357.4,1358.35,6,62146,61116,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
482.0,171569,1699588509,1699588513,47,209,481.8,482.0,1,248712,315827,482.1,480.3,483.45,0,0,482.05,484.55,sf,NSE:HINDALCO-EQ,-2.55,-0.5263
1357.15,5589,1699588491,1699588513,161,57,1357.4,1358.35,6,62148,61693,1357.13,1350.0,1359.95,0,0,1350.0,1379.6,sf,NSE:ICICIGI-EQ,-22.45,-1.6273
2072.2,375303,1699588513,1699588514,98,23,2072.2,2073.0,20,70022,174082,2062.11,2030.8,2077.0,0,0,2041.65,2017.15,sf,NSE:HAL-EQ,55.05,2.7291
